date,cash,positions_value,equity,n_positions,exposure_pct
2022-03-10,1000000.0,0.0,1000000.0,0,0.0
2022-03-11,1000000.0,0.0,1000000.0,0,0.0
2022-03-14,1000000.0,0.0,1000000.0,0,0.0
2022-03-15,1000000.0,0.0,1000000.0,0,0.0
2022-03-16,1000000.0,0.0,1000000.0,0,0.0
2022-03-17,1000000.0,0.0,1000000.0,0,0.0
2022-03-18,1000000.0,0.0,1000000.0,0,0.0
2022-03-21,1000000.0,0.0,1000000.0,0,0.0
2022-03-22,1000000.0,0.0,1000000.0,0,0.0
2022-03-23,1000000.0,0.0,1000000.0,0,0.0
2022-03-24,1000000.0,0.0,1000000.0,0,0.0
2022-03-25,1000000.0,0.0,1000000.0,0,0.0
2022-03-28,1000000.0,0.0,1000000.0,0,0.0
2022-03-29,1000000.0,0.0,1000000.0,0,0.0
2022-03-30,1000000.0,0.0,1000000.0,0,0.0
2022-03-31,1000000.0,0.0,1000000.0,0,0.0
2022-04-01,1000000.0,0.0,1000000.0,0,0.0
2022-04-06,799715.0,200000.0,999715.0,1,20.005701624963116
2022-04-07,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-08,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-11,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-12,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-13,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-14,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-15,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-18,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-19,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-20,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-21,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-22,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-25,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-26,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-27,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-28,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-04-29,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-03,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-04,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-05,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-06,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-09,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-10,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-11,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-12,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-13,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-16,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-17,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-18,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-19,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-20,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-23,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-24,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-25,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-26,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-27,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-30,1000150.8291873963,0.0,1000150.8291873963,0,0.0
2022-05-31,1000150.8291873963,0.0,1000150.8291873963,0,0.0
