cell,horizon,n,underpowered,mean,trimmed_mean,median,std,hit_pct,p10,p90,mae,mfe,net_mean
RS_T3 (all),5d,15806,false,0.0068963862345430916,0.0037321091651052016,0.0,0.07061722348452462,49.449576110337844,-0.06402439024390238,0.08333333333333326,-0.023999613665621367,0.03264374397925079,0.0010463862345430914
RS_T3 (all),10d,7917,false,0.013554564406006232,0.008129450315026479,0.002777777777777768,0.10162122261745725,50.97890615131995,-0.08705114254624591,0.12454212454212454,-0.04056030036350733,0.056567383776347374,0.007704564406006232
RS_T3 (all),20d,3955,false,0.02483859711918068,0.014172667479435193,0.004343105320304019,0.1530410117907524,51.580278128950695,-0.11877394636015326,0.18742138364779892,-0.061701144701387156,0.09341975390563943,0.01898859711918068
RS_T3|Dist_T1,5d,1165,false,0.005449233854727597,0.006682559618238521,0.004702194357366629,0.07186041192896622,53.21888412017167,-0.06521739130434778,0.08490566037735858,-0.025666128545268407,0.033244421196797734,-0.00040076614527240293
RS_T3|Dist_T1,10d,630,false,0.006245331643461975,0.0038475462887383703,0.0,0.08871806713416965,49.36507936507937,-0.09328358208955223,0.10646900269541781,-0.04257243145486715,0.05156616518616215,0.0003953316434619752
RS_T3|Dist_T1,20d,365,false,0.013634748945991626,0.009400687182993098,0.00687757909215958,0.12187888390802329,54.24657534246575,-0.12348178137651822,0.14563106796116498,-0.0658250004658638,0.07786816931194443,0.0077847489459916255
RS_T3|Dist_T2,5d,4106,false,0.003173131644123487,0.0008574231123877631,0.0,0.06764044679176491,48.07598636142231,-0.0639269406392694,0.07188160676532762,-0.02601827059013423,0.029029646824665786,-0.0026768683558765134
RS_T3|Dist_T2,10d,2093,false,0.006151108988960855,0.0028430432392038785,0.0,0.09226969844566452,49.64166268514095,-0.08823529411764708,0.10931677018633534,-0.043537012558274836,0.05076872975406951,0.00030110898896085463
RS_T3|Dist_T2,20d,1086,false,0.012812112038958089,0.0032757170801693833,-0.0015778710419663278,0.14457239372074723,48.61878453038674,-0.13428571428571423,0.17386489479512734,-0.06928747334125468,0.08591063480270882,0.006962112038958089
RS_T3|Dist_T3,5d,10696,false,0.007782389396367699,0.004048194371896366,0.0,0.07167735913901442,49.037023186237846,-0.0625,0.08504398826979465,-0.023221200768016183,0.033252505847608194,0.0019323893963676987
RS_T3|Dist_T3,10d,5376,false,0.01486058669765752,0.008759632070248232,0.00252239299709911,0.10356490867544436,51.097470238095234,-0.08536585365853666,0.12777777777777777,-0.0395364108121572,0.05790727941394177,0.00901058669765752
RS_T3|Dist_T3,20d,2699,false,0.025153971907657346,0.013707198122755532,0.0,0.15679443544440186,49.648017784364576,-0.11849710982658956,0.18816067653276947,-0.06052703849552451,0.09517701819216855,0.019303971907657345
RS_T3|Dist_T1|Beta_T1,5d,282,false,-0.0001373457466464459,0.0001274933906469828,-0.001687727686703111,0.040936070052095375,48.58156028368794,-0.04587155963302747,0.048523206751054815,-0.0187807841594897,0.01906143822500686,-0.005987345746646446
RS_T3|Dist_T1|Beta_T1,10d,198,false,-0.0006031648891955017,-0.0014847738833301063,0.0,0.06587100442187889,48.98989898989899,-0.0663716814159292,0.06813996316758764,-0.032636174759169974,0.035855315554832005,-0.006453164889195502
RS_T3|Dist_T1|Beta_T1,20d,162,false,0.0050478819052107386,0.0013393677529868668,0.0,0.11507967036834924,48.148148148148145,-0.09741634900465912,0.10935441370223975,-0.05574352649126497,0.062447224630960495,-0.0008021180947892616
RS_T3|Dist_T1|Beta_T2,5d,404,false,0.0028195284232899005,0.0039591358786074905,0.004246982525671017,0.05586544681656148,53.71287128712871,-0.059374999999999956,0.06462984723854293,-0.02252127717557973,0.027506437624913033,-0.0030304715767100997
RS_T3|Dist_T1|Beta_T2,10d,256,false,0.006964576422284273,0.007569772193299548,0.009173309117815331,0.080740907363049,58.203125,-0.07323943661971832,0.09740259740259738,-0.03579646506236821,0.04777749649712526,0.0011145764222842726
RS_T3|Dist_T1|Beta_T2,20d,199,false,0.02712498678721908,0.020308676655866685,0.023160762942779245,0.1296538830665987,59.798994974874375,-0.10123966942148754,0.14930555555555558,-0.05395880527216986,0.08327840613949632,0.021274986787219077
RS_T3|Dist_T1|Beta_T3,5d,572,false,0.017434556184528965,0.016492440362920583,0.013447754323666739,0.08110712420924354,58.04195804195804,-0.06748466257668717,0.11111111111111116,-0.025883057440895623,0.04819803430838041,0.011584556184528964
RS_T3|Dist_T1|Beta_T3,10d,333,false,0.03425241519118648,0.02895398109218197,0.025048169556840083,0.11320653286429906,60.96096096096096,-0.09697732997481112,0.16210526315789475,-0.04049698018642641,0.08149485260951744,0.028402415191186477
RS_T3|Dist_T1|Beta_T3,20d,215,false,0.04848989425263524,0.04111627883366026,0.03103448275862064,0.15674520154175,60.0,-0.12017937219730945,0.22138836772983117,-0.06292488930240327,0.1180315584586249,0.04263989425263524
RS_T3|Dist_T2|Beta_T1,5d,1293,false,-0.002607643606509603,-0.003053242787935753,-0.003252032520325243,0.05177866106780915,44.62490332559938,-0.05177514792899407,0.04571428571428582,-0.021965781299480965,0.0190188575928552,-0.008457643606509604
RS_T3|Dist_T2|Beta_T1,10d,692,false,-0.0015234012137081388,-0.004110295107846858,-0.004883743091290305,0.07850998988627136,45.3757225433526,-0.07418397626112772,0.0636833046471601,-0.0364305045596845,0.033452083531587566,-0.007373401213708139
RS_T3|Dist_T2|Beta_T1,20d,401,false,0.0006313488134047463,-0.00552438414736298,-0.0043057050592034685,0.1377936252593701,47.13216957605985,-0.10526315789473684,0.09336609336609336,-0.05913295713151275,0.05789280476894875,-0.0052186511865952535
RS_T3|Dist_T2|Beta_T2,5d,1305,false,0.0053756858515361565,0.0038158823286723034,0.0017857142857142794,0.06674404864587877,50.95785440613027,-0.05621805792163548,0.07046070460704601,-0.022225303892131894,0.02927573690531939,-0.00047431414846384364
RS_T3|Dist_T2|Beta_T2,10d,702,false,0.004106118063956069,0.0012308770974511886,0.0,0.0949170532021761,49.85754985754986,-0.08585055643879169,0.09979633401221988,-0.04063325175911593,0.04955933006729447,-0.0017438819360439308
RS_T3|Dist_T2|Beta_T2,20d,400,false,0.019538407487078337,0.012256343363386164,0.0006476683937823857,0.12147911551748633,50.0,-0.09898989898989896,0.1625000000000001,-0.05735268884255664,0.08016110916368081,0.013688407487078336
RS_T3|Dist_T2|Beta_T3,5d,1520,false,0.008936959762766152,0.005999333028074668,0.001070559777588742,0.07666502829875467,50.065789473684205,-0.07075471698113212,0.09861932938856022,-0.02813764916141327,0.04064993372545685,0.0030869597627661517
RS_T3|Dist_T2|Beta_T3,10d,798,false,0.021205387988453128,0.017258002906532132,0.007803185201345486,0.11223025448477504,53.50877192982456,-0.10245901639344257,0.1597938144329898,-0.04647808894057954,0.07340432945566126,0.015355387988453126
RS_T3|Dist_T2|Beta_T3,20d,438,false,0.04170234075948054,0.028451519964295194,0.013127976318160317,0.19553952549499098,53.19634703196348,-0.1345646437994723,0.2145454545454546,-0.07165742976184272,0.12415958736874863,0.03585234075948054
RS_T3|Dist_T3|Beta_T1,5d,3652,false,0.00399729297413517,0.000990991731804782,0.0,0.0575902520017409,48.46659364731654,-0.047741935483870956,0.0521472392638036,-0.01814235874417699,0.02403838270733868,-0.0018527070258648306
RS_T3|Dist_T3|Beta_T1,10d,1870,false,0.008516636410693272,0.0032195134355210006,0.0,0.08372068777815891,48.18181818181818,-0.06463878326996197,0.08668076109936584,-0.030608001262934587,0.04314121671042462,0.002666636410693272
RS_T3|Dist_T3|Beta_T1,20d,980,false,0.017093651218413088,0.008692683787104229,0.0,0.11932748144520255,49.183673469387756,-0.08799999999999997,0.13411764705882345,-0.047518229264091875,0.06988799161364039,0.011243651218413087
RS_T3|Dist_T3|Beta_T2,5d,3174,false,0.006934682661412567,0.0026870292738811075,-0.0010470544402559345,0.06924277026448931,48.20415879017013,-0.05970149253731338,0.07656612529002316,-0.0226292652706288,0.032122998165204995,0.001084682661412567
RS_T3|Dist_T3|Beta_T2,10d,1631,false,0.01575634290186064,0.00812382520247054,0.0022321428571427937,0.10255866132498294,50.70508890251379,-0.07906458797327387,0.1234567901234569,-0.036641357923018855,0.05557436226790546,0.00990634290186064
RS_T3|Dist_T3|Beta_T2,20d,862,false,0.02734526934794549,0.014036400038726053,0.003597122302158251,0.1617033865996209,50.92807424593968,-0.11111111111111116,0.17829457364341095,-0.05499340440519978,0.09247513562047044,0.02149526934794549
RS_T3|Dist_T3|Beta_T3,5d,3763,false,0.01319841357572508,0.009184702789216345,0.0031152647975076775,0.08483957489664645,51.129418017539194,-0.07488479262672809,0.11714975845410636,-0.028097442554324274,0.04472502442850059,0.007348413575725079
RS_T3|Dist_T3|Beta_T3,10d,1920,false,0.025066260612692584,0.017159142176131917,0.008120660580881567,0.12423946344265886,53.333333333333336,-0.0990990990990992,0.17344173441734423,-0.046572242417313926,0.0772633515163131,0.019216260612692583
RS_T3|Dist_T3|Beta_T3,20d,985,false,0.045847616869789845,0.035246495108258134,0.014999999999999902,0.17711721708754666,53.502538071065985,-0.13293051359516617,0.2584269662921348,-0.06758554909084752,0.12743481818655922,0.039997616869789844
RS_T3|dist<-1 (below MA20),5d,695,false,0.008698647509501571,0.00890284068639178,0.007532956685499137,0.06811111198458189,56.402877697841724,-0.06392694063926929,0.09172661870503607,-0.024993294300917665,0.03619816274503917,0.0028486475095015713
RS_T3|dist<-1 (below MA20),10d,399,false,0.014327130869780956,0.012695069641373827,0.007776049766718529,0.08716359261118177,53.383458646616546,-0.08354114713216954,0.12320916905444124,-0.039761445629178896,0.0560686537301497,0.008477130869780955
RS_T3|dist<-1 (below MA20),20d,248,false,0.017115383443088706,0.01724001958062923,0.020939294108580864,0.10502042743912285,59.2741935483871,-0.09710982658959544,0.14919354838709675,-0.058629759402629066,0.08268853107861501,0.011265383443088705
RS_T3|-1≤dist<0 (just below),5d,1745,false,0.004025842685082997,0.002574182866774533,0.0011111111111110628,0.0701216511029274,50.257879656160455,-0.06355932203389836,0.07719298245614037,-0.025807306718248445,0.029229946086683476,-0.001824157314917003
RS_T3|-1≤dist<0 (just below),10d,918,false,0.004966758979897907,0.0015610333315460628,-0.001476806030994482,0.09794340856267948,48.5838779956427,-0.09090909090909094,0.10230179028132991,-0.043826898657459964,0.048810236790581,-0.0008832410201020935
RS_T3|-1≤dist<0 (just below),20d,507,false,0.020992852703539826,0.015304455190857977,0.009146341463414753,0.13195390199989004,55.02958579881657,-0.1071428571428572,0.1596828992072481,-0.06577258997095987,0.08139413225861229,0.015142852703539825
RS_T3|0≤dist<0.5 (on MA20),5d,1712,false,0.002687523180305861,0.001203794632499385,0.0,0.06300334019801872,49.5911214953271,-0.06355140186915886,0.06896551724137923,-0.025154331268778564,0.028603468213827705,-0.003162476819694139
RS_T3|0≤dist<0.5 (on MA20),10d,905,false,0.0037755875755693335,-0.00021602748717869155,-0.0013966480446926388,0.090890443346521,48.06629834254144,-0.09235668789808915,0.0981481481481481,-0.04181997914166186,0.04848260713988819,-0.0020744124244306667
RS_T3|0≤dist<0.5 (on MA20),20d,501,false,0.005915351461915111,-0.004190540872980233,-0.003053435114503844,0.14530297088815114,47.70459081836327,-0.1348122866894198,0.13943808532778346,-0.0704835692498412,0.07566066421038117,0.00006535146191511115
RS_T3|0.5≤dist<1 (slightly above),5d,2232,false,0.004942421152629621,0.0020461993910301127,0.0,0.0710745003917821,49.14874551971326,-0.06642066420664205,0.07802874743326482,-0.024868411210956932,0.030736235969986717,-0.0009075788473703788
RS_T3|0.5≤dist<1 (slightly above),10d,1158,false,0.006489552770027496,0.002962203106971861,0.0,0.09356956941344426,49.6545768566494,-0.08944543828264762,0.10776942355889729,-0.041221471952092976,0.05106219816595966,0.0006395527700274956
RS_T3|0.5≤dist<1 (slightly above),20d,629,false,0.009999861557753629,0.0032934043123105366,-0.008196721311475419,0.14216957528399532,46.10492845786963,-0.13370786516853939,0.17813051146384473,-0.06761022557248447,0.08088253642994983,0.004149861557753628
RS_T3|1≤dist<2 (above),5d,4468,false,0.005081295880232268,0.002152590974930867,0.0,0.06492482292316978,48.52282900626679,-0.05960264900662238,0.07565789473684204,-0.023435228896256356,0.02965682852142079,-0.0007687041197677325
RS_T3|1≤dist<2 (above),10d,2277,false,0.00800504595461122,0.003265229810053244,0.0,0.09451456723782538,48.88010540184453,-0.0854700854700855,0.10833333333333339,-0.039953301450369065,0.04974763412072796,0.0021550459546112203
RS_T3|1≤dist<2 (above),20d,1171,false,0.012025260652111928,0.0027053573247135154,-0.0077319587628865705,0.13603665831784018,45.602049530315966,-0.1165644171779141,0.16143497757847536,-0.06209814928637522,0.07956634704416507,0.006175260652111928
RS_T3|2≤dist<3 (extended),5d,3099,false,0.00998282158682887,0.006121527848005079,0.0020618556701030855,0.06964180052647333,50.855114553081634,-0.05809523809523809,0.08606557377049184,-0.021505646391620965,0.03483105769198355,0.004132821586828869
RS_T3|2≤dist<3 (extended),10d,1588,false,0.014885486716729799,0.00825331688324033,0.002353061608437179,0.10390676269859812,51.00755667506297,-0.08652657601977753,0.125,-0.03808254421909644,0.058720345780791175,0.0090354867167298
RS_T3|2≤dist<3 (extended),20d,836,false,0.02483309843081553,0.014648185331038507,0.0005336179295624133,0.1582317941737495,50.0,-0.12731481481481477,0.2058823529411764,-0.06040357683731664,0.09950376586258021,0.01898309843081553
RS_T3|dist≥3 (far extended),5d,2368,false,0.010937845481101624,0.00634491099312012,0.0,0.083135975156248,48.90202702702703,-0.07112970711297084,0.10593220338983045,-0.02705360458443734,0.040305570420094104,0.0050878454811016235
RS_T3|dist≥3 (far extended),10d,1224,false,0.022185071122236274,0.015426209429306524,0.0033444909578499438,0.12318436758946051,51.71568627450981,-0.09308510638297873,0.16763848396501468,-0.044641098170061205,0.07062609985994694,0.016335071122236273
RS_T3|dist≥3 (far extended),20d,648,false,0.04773578773714247,0.033776277696195935,0.010849115765709239,0.17749512046328983,54.32098765432099,-0.11347517730496448,0.2628205128205128,-0.06314932494806405,0.11910745136369374,0.041885787737142466
RS_T3|Dist_T1|bull,5d,482,false,0.009390774710922955,0.0073234753237429815,0.0037187530250160084,0.05887863426189599,52.69709543568465,-0.052238805970149294,0.07512520868113537,-0.019160329884774834,0.03485522120134117,0.003540774710922955
RS_T3|Dist_T1|bull,10d,290,false,0.025950087929654576,0.021399726955102172,0.014562003998303763,0.0835719786922486,62.06896551724138,-0.05125408942202836,0.11538461538461542,-0.027642913671145564,0.05882071998866176,0.020100087929654575
RS_T3|Dist_T1|bull,20d,206,false,0.04679921950516618,0.03731613452368137,0.02328893603646076,0.12596740469514633,61.165048543689316,-0.07741935483870965,0.2230215827338129,-0.03674636431309804,0.09686078924463859,0.04094921950516618
RS_T3|Dist_T1|bear,5d,486,false,-0.0025255402298376274,-0.0005943027915854482,0.0,0.06997523847676672,48.76543209876543,-0.07720588235294112,0.06964520367936933,-0.029825806161451588,0.030506073997489266,-0.008375540229837627
RS_T3|Dist_T1|bear,10d,300,false,-0.002088516307042703,-0.005819095826264633,-0.008798864662624195,0.09284141605330393,44.333333333333336,-0.1171428571428571,0.11675824175824179,-0.046642188683037884,0.05053685897923297,-0.007938516307042703
RS_T3|Dist_T1|bear,20d,212,false,-0.02303665187966654,-0.02417970076470051,-0.023952975169873547,0.11135381313224092,40.56603773584906,-0.1614173228346456,0.11853088480801333,-0.08534591055835501,0.0644469311507982,-0.02888665187966654
RS_T3|Dist_T1|neutral,5d,238,false,-0.000163244964510309,0.002019741945570041,0.0041692789968651445,0.06360751669245737,52.94117647058824,-0.07011070110701112,0.0688073394495412,-0.02556639083731437,0.027423205125425995,-0.006013244964510309
RS_T3|Dist_T1|neutral,10d,177,false,0.002279732512168621,0.0017923677157360184,0.0032679738562093608,0.08045305716307917,53.672316384180796,-0.09948979591836737,0.08467741935483852,-0.041905695728535745,0.04488823436873206,-0.0035702674878313793
RS_T3|Dist_T1|neutral,20d,161,false,0.0013425758460835443,0.0019946414272892575,0.006198347107438051,0.09362770466333259,54.037267080745345,-0.12254901960784315,0.12765957446808507,-0.06472129988236452,0.06523934236625281,-0.004507424153916455
RS_T3|Dist_T1|crisis,5d,203,false,0.041806567016979324,0.03598581576197748,0.03460837887067392,0.08366352662579638,66.99507389162561,-0.04386951631046121,0.12808988764044948,-0.02800305777948044,0.0567820283423096,0.03595656701697932
RS_T3|Dist_T1|crisis,10d,163,false,0.07243868615896475,0.06088667472772615,0.048648648648648596,0.12948079599091658,75.4601226993865,-0.053811659192825156,0.210161662817552,-0.035315811462871,0.10125493129847407,0.06658868615896475
RS_T3|Dist_T1|crisis,20d,158,false,0.12293605385497945,0.10058229890311075,0.07406488350224638,0.2013255435954737,79.74683544303798,-0.04528763769889843,0.2840646651270209,-0.039137064648706164,0.16672731645099323,0.11708605385497946
RS_T3|Dist_T1 (all regimes),5d,1165,false,0.005449233854727597,0.006682559618238521,0.004702194357366629,0.07186041192896622,53.21888412017167,-0.06521739130434778,0.08490566037735858,-0.025666128545268407,0.033244421196797734,-0.00040076614527240293
RS_T3|Dist_T1 (all regimes),10d,630,false,0.006245331643461975,0.0038475462887383703,0.0,0.08871806713416965,49.36507936507937,-0.09328358208955223,0.10646900269541781,-0.04257243145486715,0.05156616518616215,0.0003953316434619752
RS_T3|Dist_T1 (all regimes),20d,365,false,0.013634748945991626,0.009400687182993098,0.00687757909215958,0.12187888390802329,54.24657534246575,-0.12348178137651822,0.14563106796116498,-0.0658250004658638,0.07786816931194443,0.0077847489459916255
